categoria,probabilidade,recomendacoes,consumo_estimado_kwh,custo_estimado_mensal,alerta_consumo_alto,id_cliente
Moderado,0.51,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Climatizacao': Ajuste o ar-condicionado para 23-24°C e evite deixá-lo ligado sem necessidade.""]",1220.14,915.1,False,1
Moderado,0.83,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",2120.43,1590.32,False,2
Moderado,0.47,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",4485.25,3363.94,False,3
Ineficiente,0.75,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",15215.76,11411.82,True,4
Eficiente,0.76,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",3067.45,2300.59,False,5
Ineficiente,0.71,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",13373.08,10029.81,True,6
Moderado,0.58,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",6142.14,4606.6,False,7
Moderado,0.49,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",4378.58,3283.93,False,8
Ineficiente,0.59,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",4965.64,3724.23,True,9
Moderado,0.78,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",558.82,419.11,False,10
Eficiente,0.79,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1396.44,1047.33,False,11
Ineficiente,0.56,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",27698.9,20774.18,True,12
Moderado,0.64,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",10248.06,7686.04,False,13
Moderado,0.64,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",4440.11,3330.08,False,14
Ineficiente,0.66,"['Seu consumo está acima do esperado para o seu tipo de imóvel — dá pra economizar bastante.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",8826.04,6619.53,True,15
Moderado,0.5,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",11836.85,8877.64,False,16
Moderado,0.81,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",2557.7,1918.28,False,17
Moderado,0.69,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'Banheiro': Reduza o tempo de banho e evite usar o chuveiro elétrico na potência máxima, especialmente entre 17h30-20h30.""]",4031.88,3023.91,False,18
Eficiente,0.74,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Industrial': Distribua o uso do maquinário ao longo do dia -- evite concentrar em horário de ponta (17h30-20h30), quando a tarifa é mais alta.""]",7261.05,5445.79,False,19
Eficiente,0.54,"['Parabéns! Seu consumo está dentro do esperado para o seu perfil. Continue assim.', ""Sua maior fonte de consumo é a categoria 'Cozinha': Concentre o uso de forno elétrico/airfryer fora do horário de ponta da Light (17h30-20h30).""]",1274.79,956.09,False,20
Moderado,0.66,"['Seu consumo está na média do seu perfil, mas ainda há espaço pra economizar.', ""Sua maior fonte de consumo é a categoria 'TI': Desligue computadores e servidores quando não estiverem em uso.""]",3719.75,2789.81,False,21
